iter	Passed	Remaining
138	1182	7326
139	1190	7310
140	1198	7299
141	1206	7288
142	1214	7278
143	1224	7277
144	1232	7266
145	1241	7262
146	1249	7248
147	1258	7243
148	1264	7224
149	1276	7232
150	1283	7215
151	1292	7209
152	1300	7197
153	1309	7192
154	1316	7177
155	1327	7183
156	1336	7178
157	1345	7172
158	1354	7164
159	1362	7151
160	1370	7143
161	1377	7126
162	1383	7103
163	1391	7094
164	1397	7073
165	1405	7063
166	1412	7047
167	1421	7039
168	1428	7025
169	1437	7019
170	1443	6999
171	1450	6984
172	1456	6964
173	1462	6944
174	1470	6931
175	1476	6911
176	1483	6897
177	1489	6878
178	1496	6862
179	1504	6852
180	1510	6832
181	1517	6819
182	1523	6799
183	1528	6777
184	1535	6763
185	1540	6743
186	1547	6727
187	1554	6713
188	1559	6692
189	1566	6678
190	1572	6659
191	1577	6638
192	1585	6628
193	1590	6608
194	1597	6594
195	1603	6576
196	1608	6556
197	1615	6545
198	1622	6529
199	1630	6521
200	1636	6505
201	1642	6488
202	1650	6478
203	1656	6462
204	1663	6450
205	1669	6434
206	1675	6418
207	1682	6407
208	1688	6391
209	1696	6380
210	1702	6366
211	1709	6353
212	1716	6340
213	1722	6326
214	1731	6320
215	1737	6305
216	1745	6297
217	1753	6288
218	1761	6283
219	1769	6272
220	1777	6266
221	1784	6254
222	1794	6251
223	1801	6240
224	1809	6232
225	1817	6224
226	1825	6216
227	1832	6204
228	1841	6199
229	1848	6188
230	1857	6182
231	1864	6171
232	1872	6162
233	1879	6153
234	1889	6150
235	1896	6139
236	1904	6130
237	1911	6118
238	1916	6103
239	1924	6095
240	1932	6084
241	1940	6077
242	1948	6069
243	1956	6062
244	1963	6050
245	1971	6041
246	1977	6029
247	1983	6013
248	1991	6007
249	1998	5994
250	2006	5988
251	2013	5977
252	2022	5971
253	2028	5958
254	2036	5950
255	2043	5937
256	2050	5928
257	2056	5915
258	2062	5901
259	2071	5894
260	2076	5880
261	2084	5871
262	2090	5857
263	2095	5842
264	2103	5833
265	2108	5819
266	2115	5808
267	2122	5796
268	2128	5783
269	2137	5778
270	2142	5764
271	2149	5754
272	2156	5742
273	2163	5731
274	2170	5722
275	2176	5709
276	2184	5701
277	2190	5688
278	2197	5679
279	2204	5669
280	2213	5662
281	2220	5652
282	2226	5642
283	2234	5633
284	2240	5621
285	2249	5614
286	2255	5603
287	2263	5595
288	2270	5585
289	2279	5580
290	2286	5570
291	2294	5562
292	2301	5552
293	2307	5541
294	2315	5534
295	2322	5523
296	2333	5523
297	2341	5515
298	2350	5511
299	2361	5510
300	2369	5501
301	2381	5504
302	2388	5495
303	2401	5498
304	2410	5493
305	2418	5485
306	2430	5486
307	2438	5477
308	2447	5472
309	2454	5462
310	2464	5459
311	2472	5453
312	2480	5445
313	2489	5439
314	2497	5431
315	2507	5428
316	2515	5419
317	2525	5417
318	2534	5410
319	2544	5406
320	2551	5396
321	2561	5393
322	2569	5384
323	2577	5378
324	2585	5369
325	2594	5364
326	2603	5357
327	2611	5349
328	2619	5342
329	2627	5334
330	2636	5328
331	2642	5317
332	2649	5306
333	2657	5299
334	2664	5288
335	2672	5281
336	2678	5270
337	2687	5264
338	2694	5253
339	2702	5245
340	2708	5234
341	2715	5223
342	2722	5215
343	2729	5205
344	2737	5197
345	2744	5187
346	2752	5179
347	2758	5168
348	2765	5158
349	2772	5148
350	2778	5136
351	2785	5127
352	2791	5117
353	2799	5108
354	2806	5098
355	2813	5089
356	2820	5080
357	2826	5069
358	2834	5061
359	2841	5050
360	2848	5041
361	2855	5031
362	2861	5022
363	2868	5012
364	2874	5000
365	2882	4993
366	2889	4982
367	2896	4975
368	2903	4964
369	2909	4954
370	2917	4945
371	2923	4935
372	2932	4929
373	2938	4919
374	2946	4911
375	2953	4901
376	2961	4893
377	2967	4883
378	2974	4874
379	2982	4866
380	2989	4856
381	2997	4850
382	3004	4839
383	3012	4833
384	3019	4823
385	3027	4815
386	3034	4806
387	3042	4799
388	3050	4792
389	3058	4784
390	3067	4778
391	3076	4772
392	3084	4763
393	3093	4758
394	3100	4748
395	3108	4741
396	3116	4733
397	3125	4727
398	3132	4719
399	3142	4714
400	3150	4706
401	3159	4699
402	3166	4691
403	3176	4685
404	3184	4678
405	3194	4674
406	3201	4665
407	3210	4658
408	3217	4649
409	3228	4646
410	3238	4640
411	3246	4632
